Redes WiFi encontradas:
6: wifi2 (-69 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
8: El_Nueve_Apartamento (-71 dBm)
9: Livebox6-9E2D (-72 dBm)
10: SercommFF08 (-72 dBm)
11: vodafoneA068 (-74 dBm)
12: MOVISTAR_65E0 (-74 dBm)
13: sercommBA1424 (-74 dBm)
14: MOVISTAR_660B (-75 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-53 dBm)
1: MOVISTAR_1077 (-57 dBm)
2: MiFibra-F190 (-59 dBm)
3: SercommFF08 (-60 dBm)
4: MiFibra-9CF8 (-61 dBm)
5: MiFibra-46AA (-62 dBm)
6: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
7: DIGIFIBRA-d223 (-65 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
9: El_Nueve_Apartamento (-74 dBm)
10: MOVISTAR_EC10 (-74 dBm)
11: wifi2 (-77 dBm)
12: DIGIFIBRA-2RR3 (-77 dBm)
13: vodafoneA068 (-78 dBm)
14: DIRECT-Ii-BRAVIA (-78 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-55 dBm)
1: MiFibra-F190 (-57 dBm)
2: MiFibra-46AA (-61 dBm)
3: MiFibra-9CF8 (-62 dBm)
4: SercommFF08 (-62 dBm)
5: MOVISTAR_1077 (-63 dBm)
6: PROSEGUR_CAM_fc5f49e78d6e (-67 dBm)
7: DIGIFIBRA-d223 (-67 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
9: wifi2 (-73 dBm)
10: El_Nueve_Apartamento (-74 dBm)
11: vodafoneA068 (-76 dBm)
12: MOVISTAR_0670 (-77 dBm)
13: DIGIFIBRA-yRzU (-78 dBm)
14: DIRECT-Ii-BRAVIA (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-57 dBm)
1: MiFibra-F190 (-57 dBm)
2: MOVISTAR_1077 (-59 dBm)
3: MiFibra-46AA (-63 dBm)
4: MiFibra-9CF8 (-63 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
6: SercommFF08 (-63 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-65 dBm)
8: DIGIFIBRA-d223 (-66 dBm)
9: El_Nueve_Apartamento (-73 dBm)
10: MIWIFI_z2b3_2g (-74 dBm)
11: DIRECT-Ii-BRAVIA (-75 dBm)
12: sercommBA1424 (-75 dBm)
13: wifi2 (-76 dBm)
14: DIGIFIBRA-yRzU (-76 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-54 dBm)
1: MiFibra-D160 (-57 dBm)
2: SercommFF08 (-58 dBm)
3: MOVISTAR_1077 (-61 dBm)
4: MiFibra-9CF8 (-61 dBm)
5: MiFibra-46AA (-62 dBm)
6: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
7: DIGIFIBRA-d223 (-65 dBm)
8: wifi2 (-72 dBm)
9: PROSEGUR_CAM_fc5f49e78d6b (-72 dBm)
10: DIRECT-Ii-BRAVIA (-73 dBm)
11: El_Nueve_Apartamento (-74 dBm)
12: MOVISTAR_B8B0 (-76 dBm)
13: MOVISTAR-WIFI6-0B80 (-76 dBm)
14: MOVISTAR_0670 (-77 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-54 dBm)
1: MiFibra-D160 (-56 dBm)
2: MOVISTAR_1077 (-56 dBm)
3: SercommFF08 (-56 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-62 dBm)
5: MiFibra-46AA (-64 dBm)
6: MiFibra-9CF8 (-64 dBm)
7: DIGIFIBRA-d223 (-64 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
9: wifi2 (-72 dBm)
10: MOVISTAR_0670 (-75 dBm)
11: MOVISTAR_65E0 (-75 dBm)
12: vodafoneA068 (-76 dBm)
13: DIRECT-Ii-BRAVIA (-76 dBm)
14: MIWIFI_z2b3_2g (-76 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-50 dBm)
1: MiFibra-F190 (-54 dBm)
2: MiFibra-46AA (-56 dBm)
3: SercommFF08 (-57 dBm)
4: MOVISTAR_1077 (-58 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-61 dBm)
6: MiFibra-9CF8 (-62 dBm)
7: DIGIFIBRA-d223 (-64 dBm)
8: MOVISTAR_0670 (-73 dBm)
9: PROSEGUR_CAM_fc5f49e78d6b (-73 dBm)
10: wifi2 (-75 dBm)
11: El_Nueve_Apartamento (-75 dBm)
12: DIRECT-Ii-BRAVIA (-76 dBm)
13: MOVISTAR_EC10 (-76 dBm)
14: Livebox6-9E2D (-77 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: SercommFF08 (-56 dBm)
2: MiFibra-F190 (-57 dBm)
3: MiFibra-46AA (-63 dBm)
4: MOVISTAR_1077 (-64 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-65 dBm)
6: DIGIFIBRA-d223 (-67 dBm)
7: wifi2 (-69 dBm)
8: MiFibra-9CF8 (-72 dBm)
9: MOVISTAR_660B (-74 dBm)
10: Livebox6-9E2D (-76 dBm)
11: halo (-76 dBm)
12: sercommBA1424 (-76 dBm)
13: MOVISTAR_65E0 (-80 dBm)
14: TP-Link_Guest_3BB4 (-80 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: SercommFF08 (-58 dBm)
2: MiFibra-F190 (-60 dBm)
3: MOVISTAR_1077 (-60 dBm)
4: MiFibra-46AA (-65 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-65 dBm)
6: DIGIFIBRA-d223 (-66 dBm)
7: MiFibra-9CF8 (-67 dBm)
8: wifi2 (-69 dBm)
9: Livebox6-9E2D (-73 dBm)
10: halo (-75 dBm)
11: MOVISTAR_660B (-76 dBm)
12: MIWIFI_z2b3_2g (-78 dBm)
13: DIGIFIBRA-2RR3 (-79 dBm)
14: DIGIFIBRA-pNkH (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-51 dBm)
1: MiFibra-D160 (-53 dBm)
2: SercommFF08 (-58 dBm)
3: MOVISTAR_1077 (-59 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-61 dBm)
5: MiFibra-46AA (-62 dBm)
6: DIGIFIBRA-d223 (-66 dBm)
7: Livebox6-9E2D (-68 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
9: MiFibra-9CF8 (-70 dBm)
10: wifi2 (-71 dBm)
11: MOVISTAR_65E0 (-74 dBm)
12: El_Nueve_Apartamento (-74 dBm)
13: sercommBA1424 (-74 dBm)
14: MIWIFI_HssF (-75 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-54 dBm)
1: MOVISTAR_1077 (-59 dBm)
2: SercommFF08 (-60 dBm)
3: MiFibra-46AA (-62 dBm)
4: MiFibra-D160 (-63 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-64 dBm)
6: DIGIFIBRA-d223 (-65 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
8: MiFibra-9CF8 (-69 dBm)
9: wifi2 (-69 dBm)
10: El_Nueve_Apartamento (-74 dBm)
11: MOVISTAR_65E0 (-75 dBm)
12: Livebox6-9E2D (-75 dBm)
13: JAZZTEL_X3sY (-77 dBm)
14: sercommBA1424 (-77 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-57 dBm)
1: MiFibra-D160 (-60 dBm)
2: SercommFF08 (-60 dBm)
3: MOVISTAR_1077 (-62 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
5: MiFibra-46AA (-63 dBm)
6: DIGIFIBRA-d223 (-65 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
8: wifi2 (-69 dBm)
9: MiFibra-9CF8 (-73 dBm)
10: Livebox6-9E2D (-73 dBm)
11: MOVISTAR_65E0 (-74 dBm)
12: MOVISTAR_F618 (-75 dBm)
13: MOVISTAR-WIFI6-D860 (-79 dBm)
14: MOVISTAR_3756 (-81 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-57 dBm)
1: MiFibra-D160 (-60 dBm)
2: SercommFF08 (-60 dBm)
3: MOVISTAR_1077 (-62 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
5: MiFibra-46AA (-63 dBm)
6: DIGIFIBRA-d223 (-65 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
8: wifi2 (-69 dBm)
9: MiFibra-9CF8 (-73 dBm)
10: Livebox6-9E2D (-73 dBm)
11: MOVISTAR_65E0 (-74 dBm)
12: MOVISTAR_F618 (-75 dBm)
13: MOVISTAR-WIFI6-D860 (-79 dBm)
14: MOVISTAR_3756 (-81 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-57 dBm)
1: MiFibra-D160 (-60 dBm)
2: SercommFF08 (-60 dBm)
3: MOVISTAR_1077 (-62 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
5: MiFibra-46AA (-63 dBm)
6: DIGIFIBRA-d223 (-65 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
8: wifi2 (-69 dBm)
9: MiFibra-9CF8 (-73 dBm)
10: Livebox6-9E2D (-73 dBm)
11: MOVISTAR_65E0 (-74 dBm)
12: MOVISTAR_F618 (-75 dBm)
13: MOVISTAR-WIFI6-D860 (-79 dBm)
14: MOVISTAR_3756 (-81 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-46 dBm)
1: MiFibra-F190 (-57 dBm)
2: MOVISTAR_1077 (-59 dBm)
3: SercommFF08 (-60 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-62 dBm)
5: DIGIFIBRA-d223 (-62 dBm)
6: MiFibra-46AA (-62 dBm)
7: MiFibra-9CF8 (-69 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
9: wifi2 (-71 dBm)
10: Livebox6-9E2D (-73 dBm)
11: MOVISTAR_65E0 (-74 dBm)
12: sercommBA1424 (-75 dBm)
13: MOVISTAR_F618 (-79 dBm)
14: MOVISTAR-WIFI6-D860 (-80 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-56 dBm)
1: SercommFF08 (-57 dBm)
2: MOVISTAR_1077 (-57 dBm)
3: PROSEGUR_CAM_fc5f49e78d6e (-60 dBm)
4: MiFibra-46AA (-65 dBm)
5: DIGIFIBRA-d223 (-66 dBm)
6: MiFibra-D160 (-67 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-71 dBm)
8: MOVISTAR_65E0 (-72 dBm)
9: wifi2 (-72 dBm)
10: MiFibra-9CF8 (-75 dBm)
11: Livebox6-9E2D (-75 dBm)
12: sercommBA1424 (-76 dBm)
13: halo (-80 dBm)
14: MOVISTAR_3756 (-81 dBm)
Redes WiFi encontradas:
0: MiFibra-F190 (-56 dBm)
1: SercommFF08 (-57 dBm)
2: MOVISTAR_1077 (-57 dBm)
3: PROSEGUR_CAM_fc5f49e78d6e (-60 dBm)
4: MiFibra-46AA (-65 dBm)
5: DIGIFIBRA-d223 (-66 dBm)
6: MiFibra-D160 (-67 dBm)
7: PROSEGUR_CAM_fc5f49e78d6b (-71 dBm)
8: MOVISTAR_65E0 (-72 dBm)
9: wifi2 (-72 dBm)
10: MiFibra-9CF8 (-75 dBm)
11: Livebox6-9E2D (-75 dBm)
12: sercommBA1424 (-76 dBm)
13: halo (-80 dBm)
14: MOVISTAR_3756 (-81 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-48 dBm)
1: MOVISTAR_1077 (-57 dBm)
2: SercommFF08 (-59 dBm)
3: MiFibra-46AA (-60 dBm)
4: MiFibra-F190 (-61 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-65 dBm)
6: DIGIFIBRA-d223 (-66 dBm)
7: MiFibra-9CF8 (-69 dBm)
8: PROSEGUR_CAM_fc5f49e78d6b (-72 dBm)
9: MOVISTAR_65E0 (-73 dBm)
10: wifi2 (-73 dBm)
11: Livebox6-9E2D (-73 dBm)
12: MOVISTAR_EC10 (-76 dBm)
13: DIGIFIBRA-2RR3 (-78 dBm)
14: DIGIFIBRA-pNkH (-80 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-48 dBm)
1: MOVISTAR_1077 (-58 dBm)
2: SercommFF08 (-62 dBm)
3: PROSEGUR_CAM_fc5f49e78d6e (-63 dBm)
4: MiFibra-46AA (-63 dBm)
5: MiFibra-F190 (-64 dBm)
6: MOVISTAR_65E0 (-71 dBm)
7: wifi2 (-71 dBm)
8: DIGIFIBRA-d223 (-71 dBm)
9: MiFibra-9CF8 (-72 dBm)
10: Livebox6-9E2D (-75 dBm)
11: DIGIFIBRA-2RR3 (-76 dBm)
12: MOVISTAR_EC10 (-78 dBm)
13: MOVISTAR_F618 (-78 dBm)
14: sercommBA1424 (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-47 dBm)
1: MOVISTAR_1077 (-55 dBm)
2: PROSEGUR_CAM_fc5f49e78d6e (-61 dBm)
3: MiFibra-F190 (-62 dBm)
4: MiFibra-46AA (-62 dBm)
5: SercommFF08 (-67 dBm)
6: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
7: MOVISTAR_65E0 (-70 dBm)
8: DIGIFIBRA-d223 (-70 dBm)
9: wifi2 (-71 dBm)
10: MiFibra-9CF8 (-72 dBm)
11: Livebox6-9E2D (-73 dBm)
12: DIGIFIBRA-2RR3 (-78 dBm)
13: MOVISTAR_EC10 (-79 dBm)
14: MOVISTAR-WIFI6-9B88 (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: MOVISTAR_1077 (-58 dBm)
2: MiFibra-F190 (-59 dBm)
3: SercommFF08 (-60 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-61 dBm)
5: MiFibra-46AA (-61 dBm)
6: PROSEGUR_CAM_fc5f49e78d6b (-68 dBm)
7: DIGIFIBRA-d223 (-70 dBm)
8: Livebox6-9E2D (-72 dBm)
9: MiFibra-9CF8 (-74 dBm)
10: DIGIFIBRA-yRzU (-77 dBm)
11: wifi2 (-77 dBm)
12: MOVISTAR_660B (-78 dBm)
13: MOVISTAR_B8B0 (-79 dBm)
14: halo (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: MiFibra-F190 (-58 dBm)
2: SercommFF08 (-59 dBm)
3: MiFibra-46AA (-59 dBm)
4: MOVISTAR_1077 (-60 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-62 dBm)
6: PROSEGUR_CAM_fc5f49e78d6b (-69 dBm)
7: DIGIFIBRA-d223 (-71 dBm)
8: MiFibra-9CF8 (-72 dBm)
9: Livebox6-9E2D (-72 dBm)
10: DIGIFIBRA-yRzU (-77 dBm)
11: MOVISTAR_F618 (-77 dBm)
12: MOVISTAR_65E0 (-80 dBm)
13: DIGIFIBRA-pNkH (-80 dBm)
14: vodafoneA068 (-80 dBm)
Redes WiFi encontradas:
0: MOVISTAR_1077 (-59 dBm)
1: PROSEGUR_CAM_fc5f49e78d6e (-60 dBm)
2: MiFibra-46AA (-60 dBm)
3: MiFibra-D160 (-61 dBm)
4: MiFibra-F190 (-62 dBm)
5: SercommFF08 (-62 dBm)
6: DIGIFIBRA-d223 (-63 dBm)
7: MiFibra-9CF8 (-66 dBm)
8: Livebox6-9E2D (-73 dBm)
9: PROSEGUR_CAM_fc5f49e78d6b (-74 dBm)
10: MOVISTAR_65E0 (-77 dBm)
11: MOVISTAR_F618 (-77 dBm)
12: DIGIFIBRA-2RR3 (-78 dBm)
13: DIGIFIBRA-pNkH (-80 dBm)
14: TP-Link_Guest_3BB4 (-80 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-53 dBm)
1: MiFibra-F190 (-57 dBm)
2: MOVISTAR_1077 (-60 dBm)
3: MiFibra-46AA (-61 dBm)
4: SercommFF08 (-63 dBm)
5: PROSEGUR_CAM_fc5f49e78d6b (-67 dBm)
6: DIGIFIBRA-d223 (-67 dBm)
7: PROSEGUR_CAM_fc5f49e78d6e (-68 dBm)
8: MiFibra-9CF8 (-70 dBm)
9: Livebox6-9E2D (-74 dBm)
10: MOVISTAR-WIFI6-9B88 (-77 dBm)
11: El_Nueve_Apartamento (-78 dBm)
12: MOVISTAR-WIFI6-D860 (-78 dBm)
13: wifi2 (-79 dBm)
14: vodafoneA068 (-79 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-46 dBm)
1: MOVISTAR_1077 (-57 dBm)
2: MiFibra-F190 (-58 dBm)
3: SercommFF08 (-59 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-59 dBm)
5: MiFibra-46AA (-66 dBm)
6: MiFibra-9CF8 (-69 dBm)
7: wifi2 (-70 dBm)
8: Livebox6-9E2D (-71 dBm)
9: DIGIFIBRA-d223 (-71 dBm)
10: MOVISTAR_65E0 (-74 dBm)
11: MOVISTAR_B8B0 (-76 dBm)
12: MOVISTAR_0670 (-76 dBm)
13: sercommBA1424 (-76 dBm)
14: DIGIFIBRA-yRzU (-77 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-46 dBm)
1: SercommFF08 (-55 dBm)
2: MiFibra-F190 (-56 dBm)
3: MOVISTAR_1077 (-56 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-62 dBm)
5: MiFibra-46AA (-62 dBm)
6: MiFibra-9CF8 (-67 dBm)
7: DIGIFIBRA-d223 (-69 dBm)
8: wifi2 (-71 dBm)
9: Livebox6-9E2D (-72 dBm)
10: MOVISTAR_65E0 (-73 dBm)
11: sercommBA1424 (-76 dBm)
12: DIGIFIBRA-yRzU (-78 dBm)
13: El_Nueve_Apartamento (-78 dBm)
14: MOVISTAR_F618 (-78 dBm)
Redes WiFi encontradas:
0: MOVISTAR_1077 (-57 dBm)
1: MiFibra-F190 (-58 dBm)
2: MiFibra-D160 (-58 dBm)
3: MiFibra-46AA (-60 dBm)
4: PROSEGUR_CAM_fc5f49e78d6b (-63 dBm)
5: SercommFF08 (-64 dBm)
6: DIGIFIBRA-d223 (-65 dBm)
7: MiFibra-9CF8 (-67 dBm)
8: PROSEGUR_CAM_fc5f49e78d6e (-69 dBm)
9: wifi2 (-73 dBm)
10: Livebox6-9E2D (-75 dBm)
11: halo (-76 dBm)
12: MOVISTAR_0670 (-76 dBm)
13: JAZZTEL_X3sY (-78 dBm)
14: MIWIFI_HssF (-79 dBm)
